Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
Mad Méditerranée Rosé 2019,France,Méditerranée,Château Camparnaud,4.0,25,10.11,2019
Redoma Rosé 2019,Portugal,Douro,Niepoort,3.9,25,12.81,2019
Fantini Cerasuolo d'Abruzzo 2019,Italy,Abruzzo,Farnese,3.6,25,5.6,2019
Mount Hermon Rosé 2017,Israel,Galilee,Hermon,3.4,25,12.14,2017
La Villa Rosé 2018,France,Languedoc,Château La Sauvageonne,4.6,25,68.95,2018
La Rosé de Manincor 2019,Italy,Vigneti delle Dolomiti,Manincor,4.1,25,17.5,2019
Mea Rosa 2019,Italy,Liguria,Lvnae,3.9,25,11.45,2019
Amethystos Rosé 2013,Greece,Drama,Costa Lazaridi,3.8,25,9.7,2013
Cinsault 2019,France,Pays d'Oc,Les Jamelles,3.6,26,5.56,2019
Rosé 2019,South Africa,Paarl,Backsberg,3.5,26,6.45,2019
Rosa 2019,Austria,Burgenland,Umathum,3.9,26,9.91,2019
Primer Rosé 2018,Spain,Rioja,Marqués de Murrieta,3.9,26,25.15,2018
Réserve Côtes du Rhône Rosé 2018,France,Côtes-du-Rhône,Famille Perrin,3.6,26,8.9,2018
Rosé 2016,France,Pays d'Oc,Mas Janeil,3.6,26,3.7,2016
Rosé 2019,France,South West France,Mimbeau,3.7,26,7.45,2019
Rosé 2018,Portugal,Douro Superior,CARM,3.7,26,9.55,2018
Roseri Valtenesi Chiaretto Rosato 2019,Italy,Lombardia,Cà Maiol,3.9,26,9.3,2019
Rosado 2019,Spain,Rioja,Marqués de Riscal,3.7,27,6.85,2019
Altozano Tempranillo - Syrah Rosé 2018,Spain,Castilla,Finca Constancia,3.5,27,5.75,2018
Rosado 2018,Spain,Rioja,Campo Viejo,3.7,27,5.99,2018
Rosé 2017,Portugal,Douro,Cascas,3.6,27,6.24,2017
Côté Rosé 2019,France,Languedoc-Roussillon,Domaine Lafage,3.8,27,6.81,2019
La Vie Rosé 2019,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.8,27,13.69,2019
il Fenicottero Toscana 2018,Italy,Toscana,Monte Guelfo,3.4,27,6.42,2018
Moulin des Costes Bandol Rosé 2019,France,Bandol,Domaines Bunan,3.9,27,18.9,2019
Perlita Rosado 2018,Argentina,Uco Valley,DiamAndes,4.0,27,9.99,2018
Friponne Rosé 2019,France,Maures,Saint Roux,3.5,27,9.07,2019
Castel Firmian Lagrein Rosato Trentino 2018,Italy,Trentino,Mezzacorona,3.3,28,6.05,2018
Rosé 2019,France,Vin de France,Les 5 Vallees,3.7,28,7.31,2019
Tellus Rosé di Syrah 2018,Italy,Lazio,Falesco,3.4,28,11.13,2018
Rosé 2018,South Africa,Cape Town,Cape Town Wine Co,3.1,28,7.5,2018
Coteaux Varois en Provence Rosé 2019,France,Coteaux Varois en Provence,Château Routas,3.9,28,12.9,2019
Pinot Grigio Veneto Rosé 2019,Italy,Veneto,Torresella,3.8,28,6.77,2019
The Pavillion Rosé 2019,South Africa,Paarl,Boschendal,3.4,28,6.3,2019
Danie de Wet Rosé 2019,South Africa,Robertson,De Wetshof,4.0,28,6.5,2019
Tempranillo Rosé 2018,Spain,La Mancha,Añoranza,3.4,28,3.95,2018
Purple Rosé 2019,Italy,Toscana,Castello di Ama,4.1,28,21.82,2019
Rosato 2019,Italy,Puglia,Epicuro,3.6,28,5.5,2019
Basilicata Pipoli Rosato 2018,Italy,Basilicata,Vigneti del Vulture,3.5,29,5.77,2018
Rosado 2018,Spain,Rioja,Hacienda López de Haro,3.4,29,6.95,2018
Valley Oaks White Zinfandel 2017,United States,California,Fetzer,4.0,29,9.65,2017
Rosado 2019,Spain,Rioja,Hacienda López de Haro,3.4,29,6.94,2019
Rosato di Toscana Sbrancato 2018,Italy,Toscana,Tenuta Il Poggione,3.4,29,7.7,2018
Five Roses Salento 2018,Italy,Salento,Leone de Castris,3.7,29,7.77,2018
Clair de Rose 2019,France,Pays d'Oc,Les Jamelles,3.3,29,5.56,2019
Chiaretto Garda Classico 2019,Italy,Garda,Bulgarini,4.0,30,7.36,2019
Blanc de Noir Rosé 2016,South Africa,Paarl,Niel Joubert,3.7,30,5.23,2016
Merlot Rosé 2019,Argentina,San Rafael,Goyenechea,3.2,30,6.29,2019
Clos Beylesse Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine de l'Abbaye,4.5,30,19.9,2019
Tinta (Barocca) Rosé 2019,South Africa,Swartland,Allesverloren,3.6,30,7.95,2019
Cirò Rosato 2019,Italy,Cirò,Tenuta Iuzzolini,4.0,30,6.77,2019
Cerasuolo d'Abruzzo 2017,Italy,Cerasuolo d'Abruzzo,Valle Reale,3.4,31,8.95,2017
Vin Ruspo 2018,Italy,Carmignano,Capezzana,3.4,31,8.9,2018
