Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,25,14.41,2017
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,25,11.9,2019
Crémant de Limoux Brut N.V.,France,Crémant de Limoux,Prima Perla,3.5,25,14.32,N.V.
Athesis Brut 2016,Italy,Südtirol - Alto Adige,Kettmeir,4.0,25,21.5,2016
Blanc de Blancs Réserve Brut Nature N.V.,Germany,Pfalz,Eymann,3.9,25,31.18,N.V.
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4.0,25,22.13,2015
Sélection Demi-Sec Champagne Premier Cru N.V.,France,Champagne Premier Cru,Henriet-Bazin,4.1,25,25.0,N.V.
Cava Imperial Brut N.V.,Spain,Cava,Cautiu,3.8,25,9.45,N.V.
Pinot Brut N.V.,Germany,Baden,Weingut Kilian Hunn,3.5,25,13.54,N.V.
Rosato Frizzante N.V.,Italy,Veneto,Le Carline,3.9,25,7.95,N.V.
Brut N.V.,Portugal,Alentejo,Sexy,3.7,26,15.0,N.V.
Crémant de Loire L'Extra Rosé N.V.,France,Crémant de Loire,Langlois-Chateau,3.7,26,14.4,N.V.
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,26,57.51,2012
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,27,269.0,2007
Riesling Extra Brut N.V.,Germany,Pfalz,Eymann,4.0,27,18.6,N.V.
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,27,41.29,2011
Valdobbiadene Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco Superiore,Val d'Oca,3.6,27,11.04,N.V.
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,27,14.87,2017
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,28,27.95,2008
Rosato Frizzante N.V.,Italy,Veneto,Fili,3.5,28,7.69,N.V.
Crémant d'Alsace Brut Prestige N.V.,France,Crémant d'Alsace,Domaine du Moulin de Dusenbach,3.8,28,14.95,N.V.
Schloss Castell Silvaner Brut N.V.,Germany,Franken,Castell,4.1,28,17.5,N.V.
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,28,22.9,2016
Reyes de Aragón El Casto Brut Reserva N.V.,Spain,Cava,Bodegas Langa,3.8,29,7.95,N.V.
Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Jean-Louis Schoepfer,3.7,29,14.0,N.V.
Amico Filò N.V.,Italy,delle Venezie,Paladin,3.6,29,6.21,N.V.
Moscato d'Asti 2019,Italy,Moscato d'Asti,Tenimenti Ca'Bianca,3.9,29,7.45,2019
San Carlo Moscato d'asti 2017,Italy,Moscato d'Asti,Montalbera,3.8,29,9.9,2017
Aotea Méthode Traditionnelle N.V.,New Zealand,Nelson,Seifried Estate,3.6,29,26.9,N.V.
Jolie Extra Dry Spumante 2016,Italy,Sicilia,Feudi Branciforti dei Bordonaro,3.6,30,9.9,2016
Sleever Brut Reserva Rosado N.V.,Spain,Cava,Vilarnau,3.6,30,10.99,N.V.
Punto Rosa Millesimato 2016,Italy,Veneto,Val d'Oca,3.9,30,11.95,2016
Cava Chardonnay Brut N.V.,Spain,Cava,Torre Oria,3.6,30,12.99,N.V.
Grand Cuvée Arctic Fox N.V.,Australia,McLaren Vale,Fox Creek,3.7,30,18.81,N.V.
Riesling Brut N.V.,Luxembourg,Moselle,Bernard-Massard,3.7,30,10.49,N.V.
Brut Rosé 2016,Germany,Baden,Griesel & Compagnie,4.0,30,31.0,2016
Brut 2010,Germany,Rheingau,Georg Breuer,3.7,30,35.9,2010
Carte d'Or Demi-Sec Champagne N.V.,France,Champagne,Drappier,3.8,30,29.89,N.V.
Vintage Chardonnay 2007,Germany,Rheinhessen,Raumland,4.4,30,70.18,2007
Méthode Cap Classique 2013,South Africa,Stellenbosch,Thelema,3.8,31,21.9,2013
Prosecco Extra Dry N.V.,Italy,Prosecco,Savian,3.6,31,10.95,N.V.
Cremant d'Alsace Blanc de Blancs N.V.,France,Crémant d'Alsace,Boeckel,4.0,31,15.5,N.V.
Pinot Blanc Brut N.V.,Germany,Rheingau,Barth,3.8,31,16.59,N.V.
Brachetto Piemonte 2018,Italy,Piemonte,Borgo Maragliano,4.2,31,9.9,2018
Rosé Brut 2015,Germany,Rheingau,Schloss Vaux,3.6,31,25.0,2015
Cava Brut N.V.,Spain,Cava,Sardà,3.4,31,7.99,N.V.
Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,32,72.0,2014
Izar-Leku Hondarrabi Zuri 2016,Spain,Getariako Txakolina,Artadi,3.9,32,27.1,2016
Vecchia Modena Premium Mention Honorable 2019,Italy,Lambrusco di Sorbara,Cleto Chiarli,3.8,32,9.65,2019
Venti 2 Gold Cuvée N.V.,Italy,delle Venezie,Borgo Molino,4.1,32,9.5,N.V.
36 Cuvée Rosé Brut N.V.,Italy,Vino d'Italia,Marsuret,3.8,32,10.9,N.V.
Crémant Riesling Brut N.V.,Luxembourg,Crémant de Luxembourg,Bernard-Massard,3.5,32,17.77,N.V.
Frizzante Prosecco N.V.,Italy,Prosecco,Ca' Ongaresca,4.0,32,7.27,N.V.
Donna Cora 2014,Italy,Franciacorta,Montenisa,4.0,33,36.5,2014
Kellermeister Edition Sekt Extra Trocken 2016,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.7,33,9.83,2016
Millesimato Brut 2014,Italy,Franciacorta,Monzio Compagnoni,3.7,33,17.9,2014
Quinquin Sparkling Rosé N.V.,Austria,Burgenland,Esterházy,3.7,33,12.1,N.V.
Perlé Rosé Riserva 2011,Italy,Trento,Ferrari,4.1,34,92.53,2011
Victor Mandois Brut Champagne 2008,France,Champagne,Mandois,3.9,34,37.97,2008
Etichetta Nera Spumante Extra Dry 2018,Italy,Veneto,Sacchetto,3.8,34,9.82,2018
Große Reserve Brut Nature 2015,Austria,Kamptal,Jurtschitsch,3.9,34,22.13,2015
Crémant de Bourgogne Blanc de Blancs Extra Brut N.V.,France,Crémant de Bourgogne,Domaine Henri Boillot,4.0,34,22.5,N.V.
Asolo Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Asolo Prosecco,Val d'Oca,3.8,34,14.41,N.V.
